"","CLUSTER","LOC_ID_col","LOC_ID_gis","START_DATE","END_DATE","LATITUDE","LONGITUDE","RADIUS","NUMBER_LOC","P_VALUE","RECURR_INT","OBSERVED","EXPECTED","ODE","GINI_CLUST"
"1",1,95954,95954,"2021/11/17",2022-02-08,39.8916196466,-121.5851863485,20.1917145251,4,1e-17,7e+17,445,2100.6121291181,0.2118430118,FALSE
"2",1,95954,95978,"2021/11/17",2022-02-08,39.8916196466,-121.5851863485,20.1917145251,4,1e-17,7e+17,445,2100.6121291181,0.2118430118,FALSE
"3",1,95954,95942,"2021/11/17",2022-02-08,39.8916196466,-121.5851863485,20.1917145251,4,1e-17,7e+17,445,2100.6121291181,0.2118430118,FALSE
"4",1,95954,95969,"2021/11/17",2022-02-08,39.8916196466,-121.5851863485,20.1917145251,4,1e-17,7e+17,445,2100.6121291181,0.2118430118,FALSE
"5",2,94114,94114,"2022/1/12",2022-02-08,37.7580569464,-122.4354096657,1.7202179997,3,1e-17,7e+17,490,2071.3712953659,0.2365582651,FALSE
"6",2,94114,94131,"2022/1/12",2022-02-08,37.7580569464,-122.4354096657,1.7202179997,3,1e-17,7e+17,490,2071.3712953659,0.2365582651,FALSE
"7",2,94114,94117,"2022/1/12",2022-02-08,37.7580569464,-122.4354096657,1.7202179997,3,1e-17,7e+17,490,2071.3712953659,0.2365582651,FALSE
"8",3,92055,92055,"2021/11/17",2022-02-08,33.3877393478,-117.4447961712,0,1,1e-17,7e+17,10,670.165732003,0.0149216821,FALSE
"9",4,96114,96114,"2021/12/8",2022-02-08,40.2947238585,-120.4969965781,45.6380517562,12,1e-17,7e+17,345,1388.9185812953,0.2483946897,FALSE
"10",4,96114,96128,"2021/12/8",2022-02-08,40.2947238585,-120.4969965781,45.6380517562,12,1e-17,7e+17,345,1388.9185812953,0.2483946897,FALSE
"11",4,96114,96121,"2021/12/8",2022-02-08,40.2947238585,-120.4969965781,45.6380517562,12,1e-17,7e+17,345,1388.9185812953,0.2483946897,FALSE
"12",4,96114,95983,"2021/12/8",2022-02-08,40.2947238585,-120.4969965781,45.6380517562,12,1e-17,7e+17,345,1388.9185812953,0.2483946897,FALSE
