"","CLUSTER","LOC_ID_col","LOC_ID_gis","START_DATE","END_DATE","LATITUDE","LONGITUDE","RADIUS","NUMBER_LOC","P_VALUE","RECURR_INT","OBSERVED","EXPECTED","ODE","GINI_CLUST"
"1",1,92055,92055,"2022/1/12",2022-02-15,33.3877393478,-117.4447961712,0,1,1e-17,7e+17,0,267.8598632946,0,FALSE
"2",2,92310,92310,"2022/1/12",2022-02-15,35.2617389934,-116.690638605,0,1,1e-17,7e+17,10,224.7609494641,0.0444917145,FALSE
"3",3,95915,95915,"2022/2/9",2022-02-15,39.9754509164,-121.2087184055,47.2223098313,18,1e-17,7e+17,21,237.5380812346,0.0884068773,FALSE
"4",3,95915,95984,"2022/2/9",2022-02-15,39.9754509164,-121.2087184055,47.2223098313,18,1e-17,7e+17,21,237.5380812346,0.0884068773,FALSE
"5",3,95915,95956,"2022/2/9",2022-02-15,39.9754509164,-121.2087184055,47.2223098313,18,1e-17,7e+17,21,237.5380812346,0.0884068773,FALSE
"6",3,95915,95923,"2022/2/9",2022-02-15,39.9754509164,-121.2087184055,47.2223098313,18,1e-17,7e+17,21,237.5380812346,0.0884068773,FALSE
"7",3,95915,95934,"2022/2/9",2022-02-15,39.9754509164,-121.2087184055,47.2223098313,18,1e-17,7e+17,21,237.5380812346,0.0884068773,FALSE
"8",3,95915,95971,"2022/2/9",2022-02-15,39.9754509164,-121.2087184055,47.2223098313,18,1e-17,7e+17,21,237.5380812346,0.0884068773,FALSE
"9",3,95915,95978,"2022/2/9",2022-02-15,39.9754509164,-121.2087184055,47.2223098313,18,1e-17,7e+17,21,237.5380812346,0.0884068773,FALSE
"10",3,95915,95942,"2022/2/9",2022-02-15,39.9754509164,-121.2087184055,47.2223098313,18,1e-17,7e+17,21,237.5380812346,0.0884068773,FALSE
"11",3,95915,95954,"2022/2/9",2022-02-15,39.9754509164,-121.2087184055,47.2223098313,18,1e-17,7e+17,21,237.5380812346,0.0884068773,FALSE
