"","CLUSTER","LOC_ID_col","LOC_ID_gis","START_DATE","END_DATE","LATITUDE","LONGITUDE","RADIUS","NUMBER_LOC","TEST_STAT","P_VALUE","RECURR_INT","OBSERVED","EXPECTED","ODE","GINI_CLUST"
"1",1,11418,11418,"2001/11/22",2001-11-24,40.69924,-73.83176,2.9028791047,9,3.8454183711,0.241545893719807,4,4,0.6701030928,5.9692307692,FALSE
"2",1,11418,11415,"2001/11/22",2001-11-24,40.69924,-73.83176,2.9028791047,9,3.8454183711,0.241545893719807,4,4,0.6701030928,5.9692307692,FALSE
"3",1,11418,11419,"2001/11/22",2001-11-24,40.69924,-73.83176,2.9028791047,9,3.8454183711,0.241545893719807,4,4,0.6701030928,5.9692307692,FALSE
"4",1,11418,11435,"2001/11/22",2001-11-24,40.69924,-73.83176,2.9028791047,9,3.8454183711,0.241545893719807,4,4,0.6701030928,5.9692307692,FALSE
"5",1,11418,11416,"2001/11/22",2001-11-24,40.69924,-73.83176,2.9028791047,9,3.8454183711,0.241545893719807,4,4,0.6701030928,5.9692307692,FALSE
"6",1,11418,11421,"2001/11/22",2001-11-24,40.69924,-73.83176,2.9028791047,9,3.8454183711,0.241545893719807,4,4,0.6701030928,5.9692307692,FALSE
"7",1,11418,11451,"2001/11/22",2001-11-24,40.69924,-73.83176,2.9028791047,9,3.8454183711,0.241545893719807,4,4,0.6701030928,5.9692307692,FALSE
"8",1,11418,11375,"2001/11/22",2001-11-24,40.69924,-73.83176,2.9028791047,9,3.8454183711,0.241545893719807,4,4,0.6701030928,5.9692307692,FALSE
"9",1,11418,11417,"2001/11/22",2001-11-24,40.69924,-73.83176,2.9028791047,9,3.8454183711,0.241545893719807,4,4,0.6701030928,5.9692307692,FALSE
"10",2,11372,11372,"2001/11/24",2001-11-24,40.75146,-73.88307,0,1,3.164201157,0.57487922705314,2,2,0.1649484536,12.125,FALSE
"11",3,10472,10472,"2001/11/23",2001-11-24,40.82996,-73.86464,0,1,2.1372588719,0.966183574879227,1,2,0.293814433,6.8070175439,FALSE
"12",1,11691,11691,"2001/11/20",2001-11-20,40.60124,-73.76363,2.8796520594,3,2.9207562434,0.471698113207547,2,2,0.1886792453,10.6,FALSE
"13",1,11691,11096,"2001/11/20",2001-11-20,40.60124,-73.76363,2.8796520594,3,2.9207562434,0.471698113207547,2,2,0.1886792453,10.6,FALSE
"14",1,11691,11692,"2001/11/20",2001-11-20,40.60124,-73.76363,2.8796520594,3,2.9207562434,0.471698113207547,2,2,0.1886792453,10.6,FALSE
"15",2,10031,10031,"2001/11/20",2001-11-20,40.82688,-73.9493,2.5510845344,9,2.2184166554,0.933962264150943,1,3,0.6603773585,4.5428571429,FALSE
"16",2,10031,10039,"2001/11/20",2001-11-20,40.82688,-73.9493,2.5510845344,9,2.2184166554,0.933962264150943,1,3,0.6603773585,4.5428571429,FALSE
"17",2,10031,10030,"2001/11/20",2001-11-20,40.82688,-73.9493,2.5510845344,9,2.2184166554,0.933962264150943,1,3,0.6603773585,4.5428571429,FALSE
"18",2,10031,10032,"2001/11/20",2001-11-20,40.82688,-73.9493,2.5510845344,9,2.2184166554,0.933962264150943,1,3,0.6603773585,4.5428571429,FALSE
"19",2,10031,10027,"2001/11/20",2001-11-20,40.82688,-73.9493,2.5510845344,9,2.2184166554,0.933962264150943,1,3,0.6603773585,4.5428571429,FALSE
"20",2,10031,10037,"2001/11/20",2001-11-20,40.82688,-73.9493,2.5510845344,9,2.2184166554,0.933962264150943,1,3,0.6603773585,4.5428571429,FALSE
"21",2,10031,10452,"2001/11/20",2001-11-20,40.82688,-73.9493,2.5510845344,9,2.2184166554,0.933962264150943,1,3,0.6603773585,4.5428571429,FALSE
"22",2,10031,10451,"2001/11/20",2001-11-20,40.82688,-73.9493,2.5510845344,9,2.2184166554,0.933962264150943,1,3,0.6603773585,4.5428571429,FALSE
"23",2,10031,10026,"2001/11/20",2001-11-20,40.82688,-73.9493,2.5510845344,9,2.2184166554,0.933962264150943,1,3,0.6603773585,4.5428571429,FALSE
