"","CLUSTER","LOC_ID_col","LOC_ID_gis","START_DATE","END_DATE","LATITUDE","LONGITUDE","RADIUS","NUMBER_LOC","P_VALUE","RECURR_INT","OBSERVED","EXPECTED","ODE","GINI_CLUST"
"1",1,92055,92055,"2024/3/6",2024-05-28,33.3877393478,-117.4447961712,0,1,1e-17,7e+17,1236,105451.272083549,0.0117210535,FALSE
"2",2,92310,92310,"2024/3/6",2024-05-28,35.2617389934,-116.690638605,0,1,1e-17,7e+17,4932,88484.0593292647,0.0557388533,FALSE
"3",3,92278,92278,"2024/3/6",2024-05-28,34.2299736656,-116.0550541267,0,1,1e-17,7e+17,444,43829.7254983899,0.0101301114,FALSE
"4",4,93437,93437,"2024/3/6",2024-05-28,34.7373563247,-120.5434859334,0,1,1e-17,7e+17,5232,30358.1350231179,0.1723426026,FALSE
"5",5,96113,96113,"2024/3/6",2024-05-28,40.1429144399,-120.1584855476,31.8325971318,5,1e-17,7e+17,8400,33880.6467042768,0.2479291518,FALSE
"6",5,96113,96109,"2024/3/6",2024-05-28,40.1429144399,-120.1584855476,31.8325971318,5,1e-17,7e+17,8400,33880.6467042768,0.2479291518,FALSE
"7",5,96113,96121,"2024/3/6",2024-05-28,40.1429144399,-120.1584855476,31.8325971318,5,1e-17,7e+17,8400,33880.6467042768,0.2479291518,FALSE
"8",5,96113,96136,"2024/3/6",2024-05-28,40.1429144399,-120.1584855476,31.8325971318,5,1e-17,7e+17,8400,33880.6467042768,0.2479291518,FALSE
"9",5,96113,96128,"2024/3/6",2024-05-28,40.1429144399,-120.1584855476,31.8325971318,5,1e-17,7e+17,8400,33880.6467042768,0.2479291518,FALSE
"10",6,92275,92275,"2024/3/6",2024-05-28,33.2518714652,-115.8565819556,0,1,1e-17,7e+17,4908,23590.9688163113,0.2080457161,FALSE
"11",7,92242,92242,"2024/3/6",2024-05-28,34.1651586438,-114.3196712311,0,1,1e-17,7e+17,1452,11759.6318719606,0.1234732529,FALSE
"12",8,93928,93928,"2024/3/6",2024-05-28,36.0324036587,-121.2395277268,0,1,1e-17,7e+17,1404,7654.5164776329,0.1834211219,FALSE
"13",9,96112,96112,"2024/3/6",2024-05-28,41.8601845183,-120.1059943721,0,1,1e-17,7e+17,444,2007.7420269201,0.2211439488,FALSE
