"","CLUSTER","LOC_ID_col","START_DATE","END_DATE","LATITUDE","LONGITUDE","RADIUS","NUMBER_LOC","TEST_STAT","P_VALUE","RECURR_INT","OBSERVED","EXPECTED","ODE","GINI_CLUST","MEAN_RPL_THEME1","MEAN_RPL_THEME2","MEAN_RPL_THEME3","MEAN_RPL_THEME4","MEAN_RPL_THEMES","NUM_SVI_NA","RADIUS_M"
"1",1,11691,2001-11-20,2001-11-20,40.60124,-73.76363,2.8796520594,3,2.9207562434,0.47,2,2,0.19,10.6,FALSE,0.96,0.91,0.95,0.93,0.97,0,2879.652
"2",2,10031,2001-11-20,2001-11-20,40.82688,-73.9493,2.5510845344,9,2.2184166554,0.93,1,3,0.66,4.5428571429,FALSE,0.96,0.75,0.97,0.93,0.96,0,2551.085
"3",1,11418,2001-11-22,2001-11-24,40.69924,-73.83176,2.9028791047,9,3.8454183711,0.24,4,4,0.67,5.9692307692,FALSE,0.85,0.62,0.94,0.83,0.88,1,2902.879
"4",2,11372,2001-11-24,2001-11-24,40.75146,-73.88307,0,1,3.164201157,0.57,2,2,0.16,12.125,FALSE,0.96,0.55,0.96,0.93,0.94,0,500
"5",3,10472,2001-11-23,2001-11-24,40.82996,-73.86464,0,1,2.1372588719,0.97,1,2,0.29,6.8070175439,FALSE,1,0.97,0.99,0.97,1,0,500
