LOC_ID,CLUSTER,P_VALUE,RECURR_INT,CLU_OBS,CLU_EXP,CLU_ODE,CLU_RR,CLU_POP,LOC_OBS,LOC_EXP,LOC_ODE,LOC_RR,LOC_POP,LOC_LAT,LOC_LONG,GINI_CLUST
92055,1,1e-17,7e+17,0,267.8598632946,0,0,11765,0,267.8598632946,0,0,11765,33.3877393478,-117.4447961712,FALSE
92310,2,1e-17,7e+17,10,224.7609494641,0.0444917145,0.0444890425,9872,10,224.7609494641,0.0444917145,0.0444890425,9872,35.2617389934,-116.690638605,FALSE
95915,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,0,0,0,0,0,39.9754509164,-121.2087184055,FALSE
95984,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,0,0,0,0,0,40.040943902,-121.1226543474,FALSE
95956,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,0,1.5846193358,0,0,330.72,39.8380606867,-121.1363556714,FALSE
95923,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,0,0,0,0,0,40.1579007836,-121.1155646706,FALSE
95934,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,0,0,0,0,91.12,40.0718826334,-120.9285548528,FALSE
95971,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,2,26.9749567388,0.0741428437,0.0741423258,5924,39.9371608875,-120.9001807452,FALSE
95978,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,0,0,0,0,0,39.8756013012,-121.5363143402,FALSE
95942,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,2,4.2529725851,0.470259321,0.4702590247,934,40.0187313359,-121.5646431525,FALSE
95954,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,4,56.331395985,0.0710083592,0.07100732,12371,39.8916196466,-121.5851863485,FALSE
96137,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,2,14.8079944825,0.1350621789,0.1350616952,3252,40.2688001298,-121.0297367185,FALSE
95916,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,0,6.1882117164,0,0,1359,39.6607260182,-121.3635960226,FALSE
95947,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,3,7.5451558602,0.3976061006,0.3976055952,1657,40.1745556598,-120.8197130883,FALSE
95981,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,0,0,0,0,0,39.6359951055,-121.0360343083,FALSE
96020,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,1,10.7872505932,0.0927020274,0.0927017737,2369,40.3671361931,-121.2965077706,FALSE
95983,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,0,1.7303314586,0,0,380,40.0779447667,-120.7073023837,FALSE
96061,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,0,0,0,0,0,40.3307426122,-121.4864957246,FALSE
95930,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,0,0,0,0,0,39.5518828556,-121.193645902,FALSE
95969,3,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,7,107.3351924791,0.0652162617,0.0652144318,23572,39.7163111732,-121.6473781555,FALSE
92278,4,1e-17,7e+17,0,111.3331688492,0,0,4890,0,111.3331688492,0,0,4890,34.2299736656,-116.0550541267,FALSE
94618,5,1e-17,7e+17,15,157.1140964406,0.095472019,0.0954682248,17252,15,157.1140964406,0.095472019,0.0954682248,17252,37.8439786454,-122.2388535225,FALSE
92637,6,1e-17,7e+17,13,146.1947942361,0.0889224549,0.0889191428,16053,13,146.1947942361,0.0889224549,0.0889191428,16053,33.6101361431,-117.7316194481,FALSE
94582,7,1e-17,7e+17,0,83.087134039,0,0,37140.77,0,83.087134039,0,0,37140.77,37.763595451,-121.9155136357,FALSE
96121,8,1e-17,7e+17,11,113.56438573,0.0968613525,0.0968585744,6235,0,6.5206174966,0,0,358,40.1688631687,-120.373153581,FALSE
96114,8,1e-17,7e+17,11,113.56438573,0.0968613525,0.0968585744,6235,8,59.5051881604,0.1344420587,0.1344401223,3267,40.2947238585,-120.4969965781,FALSE
96113,8,1e-17,7e+17,11,113.56438573,0.0968613525,0.0968585744,6235,1,35.0619795558,0.0285209225,0.0285206508,1925,40.1429144399,-120.1584855476,FALSE
96128,8,1e-17,7e+17,11,113.56438573,0.0968613525,0.0968585744,6235,2,12.4766005173,0.1603000751,0.1602996055,685,40.3551881319,-120.4104997819,FALSE
95633,9,1e-17,7e+17,9,95.3503703764,0.0943887262,0.0943864469,4188,9,95.3503703764,0.0943887262,0.0943864469,4188,38.8478353185,-120.8258232078,FALSE
