CLUSTER,LOC_ID,LATITUDE,LONGITUDE,RADIUS,START_DATE,END_DATE,NUMBER_LOC,LLR,P_VALUE,RECURR_INT,OBSERVED,EXPECTED,ODE,REL_RISK,POPULATION,GINI_CLUST
1,92055,33.3877393478,-117.4447961712,0,2022/1/12,2022/2/15,1,267.8698959004,1e-17,7e+17,0,267.8598632946,0,0,11765,FALSE
2,92310,35.2617389934,-116.690638605,0,2022/1/12,2022/2/15,1,183.6428756903,1e-17,7e+17,10,224.7609494641,0.0444917145,0.0444890425,9872,FALSE
3,95915,39.9754509164,-121.2087184055,47.2223098313,2022/2/9,2022/2/15,18,165.6027218204,1e-17,7e+17,21,237.5380812346,0.0884068773,0.0884015239,52239.84,FALSE
4,92278,34.2299736656,-116.0550541267,0,2022/1/12,2022/2/15,1,111.3349019942,1e-17,7e+17,0,111.3331688492,0,0,4890,FALSE
5,94618,37.8439786454,-122.2388535225,0,2022/2/2,2022/2/15,1,106.8830894001,1e-17,7e+17,15,157.1140964406,0.095472019,0.0954682248,17252,FALSE
6,92637,33.6101361431,-117.7316194481,0,2022/2/2,2022/2/15,1,101.7373973087,1e-17,7e+17,13,146.1947942361,0.0889224549,0.0889191428,16053,FALSE
7,94582,37.763595451,-121.9155136357,0,2022/1/26,2022/2/15,1,83.0880993139,1e-17,7e+17,0,83.087134039,0,0,37140.77,FALSE
8,96121,40.1688631687,-120.373153581,20.946175829,2022/1/19,2022/2/15,4,76.8866351546,1e-17,7e+17,11,113.56438573,0.0968613525,0.0968585744,6235,FALSE
9,95633,38.8478353185,-120.8258232078,0,2022/1/12,2022/2/15,1,65.1084102137,1e-17,7e+17,9,95.3503703764,0.0943887262,0.0943864469,4188,FALSE
10,92314,34.260964724,-116.8130504452,2.9608487007,2022/2/9,2022/2/15,2,42.0585723427,6e-15,1167599903392351,6,62.0779178291,0.0966527263,0.0966512106,13633,FALSE
11,94939,37.9371670172,-122.5340713427,0,2022/2/2,2022/2/15,1,41.4871145314,9.88e-15,708431402058280,6,61.4449807955,0.0976483339,0.0976468199,6747,FALSE
12,95379,37.9469203522,-120.1939807609,0,2022/1/26,2022/2/15,1,40.2223506969,2.986e-14,234388084695862,4,54.6830275955,0.0731488393,0.0731478026,4003,FALSE
13,93437,34.7373563247,-120.5434859334,14.2380140318,2022/1/26,2022/2/15,2,34.2763555395,5.32507e-12,1314535793161,4,48.2352661603,0.0829268773,0.0829258515,3488.11,FALSE
14,96013,41.0014951928,-121.6863786478,16.9601536684,2022/2/2,2022/2/15,2,33.8297341212,7.86016e-12,890567456470,4,47.7480412496,0.08377307,0.0837720451,5243,FALSE
15,95935,39.3775518683,-121.1911915521,17.354589691,2022/2/9,2022/2/15,10,30.2725205069,1.7469348e-10,40070184209,4,43.8502419639,0.0912195651,0.0912185485,9737.99,FALSE
16,96133,38.6329321108,-119.5041156752,43.6002406682,2022/1/26,2022/2/15,4,30.138208356,1.9639501e-10,35642453193,3,40.9815345457,0.073203701,0.0732029234,3000,FALSE
17,92242,34.1651586438,-114.3196712311,0,2022/1/12,2022/2/15,1,25.4742141138,1.14558989e-08,611038912,1,29.87098518,0.0334773023,0.033477032,1312,FALSE
18,95346,38.0674824093,-120.1793513478,0,2022/1/12,2022/2/15,1,24.1329939589,3.688475281e-08,189780315,1,28.4821665093,0.0351096887,0.0351094189,1251,FALSE
19,93921,36.5534608319,-121.9241046947,3.9795877623,2022/2/9,2022/2/15,2,23.2075566295,8.264933304e-08,84695178,3,33.4409321893,0.0897104179,0.0897096542,7344,FALSE
20,96103,39.8011770129,-120.6608409138,0,2022/1/12,2022/2/15,1,21.8056844416,2.8055713364e-07,24950355,3,31.8972943881,0.0940518642,0.0940511042,1401,FALSE
21,96009,41.0634713987,-121.0410444767,20.7610854891,2022/1/26,2022/2/15,4,20.6325336718,7.8019626704e-07,8972101,3,30.5995457941,0.0980406709,0.0980399143,2240,FALSE
22,95456,39.2611433387,-123.7513370412,5.4671301279,2022/2/2,2022/2/15,2,20.5175606969,8.6245280884e-07,8116386,3,30.4720476867,0.0984508829,0.0984501266,3346,FALSE
23,96023,41.9268537013,-121.9070370442,0,2022/1/12,2022/2/15,1,19.754657252,1.67721397815e-06,4173588,2,26.9567427234,0.0741929402,0.0741924224,1184,FALSE
24,95619,38.6831099708,-120.8155774282,0,2022/2/9,2022/2/15,1,18.9042778861,3.52015540872e-06,1988549,2,26.036934948,0.0768139569,0.0768134406,5718,FALSE
25,93271,36.4592009012,-118.7779302284,21.2545727302,2022/2/2,2022/2/15,3,18.2995813154,5.96367196781e-06,1173773,2,25.3812303953,0.0787983864,0.0787978712,2787,FALSE
26,95412,38.7134336387,-123.3498102603,8.922569203,2022/1/26,2022/2/15,2,16.873868164,2.066899273623e-05,338672,1,20.9142431298,0.047814305,0.0478140387,1531,FALSE
27,95369,37.5334574746,-120.4317258849,0,2022/1/12,2022/2/15,1,16.4021946336,3.118198779228e-05,224489,2,23.3139396527,0.0857855871,0.0857850758,1024,FALSE
28,96104,41.5161460616,-120.1291535497,0,2022/1/12,2022/2/15,1,15.2169376648,8.763102532305e-05,79880,1,19.1702511597,0.0521641575,0.0521638924,842,FALSE
29,95982,39.183132725,-121.8046701276,0,2022/2/9,2022/2/15,1,14.8398998012,0.00012173233447721,57503,0,14.8398690094,0,0,3259,FALSE
30,90401,34.0141913753,-118.4941198844,0,2022/1/26,2022/2/15,1,13.877155124,0.00028176634965627,24843,0,13.8771281978,0,0,6203.21,FALSE
31,93432,35.4719265985,-120.4710527247,0,2022/1/26,2022/2/15,1,13.8741463667,0.00028250630943516,24778,2,20.5317488074,0.0974101144,0.0974096096,1503,FALSE
32,94304,37.3817765643,-122.1739566546,0,2022/2/9,2022/2/15,1,13.6756455325,0.0003358719043578,20841,1,17.5400967856,0.0570122282,0.0570119645,3852,FALSE
33,95938,39.6030415458,-121.7986866881,0,2022/2/9,2022/2/15,1,13.6154153175,0.00035397641770696,19775,2,20.2448780656,0.0987904197,0.0987899156,4446,FALSE
34,92285,34.3401875331,-116.5404816421,13.3032319561,2022/2/9,2022/2/15,2,13.1368827041,0.00053717811636211,13031,0,13.1368585738,0,0,2885,FALSE
35,92661,33.6001931283,-117.90234323,0,2022/2/9,2022/2/15,1,11.9340299677,0.00153225333845652,4568,1,15.6868207233,0.0637477802,0.0637475184,3445,FALSE
36,95943,39.5857022055,-122.0366972704,0,2022/1/26,2022/2/15,1,11.8983253249,0.00158066076813734,4429,0,11.8983055298,0,0,871,FALSE
37,93254,34.9486555559,-119.7710655956,33.122636579,2022/2/2,2022/2/15,2,11.8104314449,0.00170643609659238,4102,1,15.554769112,0.0642889645,0.0642887029,1708,FALSE
38,92283,32.937613306,-114.7472183704,0,2022/2/2,2022/2/15,1,11.6060135576,0.00203899028122578,3433,1,15.3362009278,0.0652051968,0.0652049354,1684,FALSE
39,96105,39.8332196913,-120.1782413093,15.9635503687,2022/1/19,2022/2/15,3,11.5451023687,0.00215007401489375,3256,0,11.545083732,0,0,488.85,FALSE
40,95663,38.8558112306,-121.1823150424,0,2022/2/9,2022/2/15,1,11.3519030876,0.00254400244863495,2752,0,11.3518850692,0,0,2493,FALSE
41,93518,35.3700706508,-118.4612299821,20.7214043594,2022/2/9,2022/2/15,3,10.8158677149,0.00405642905487635,1726,1,14.4892492138,0.0690166885,0.0690164282,3182,FALSE
42,95550,40.7733064625,-123.8184564298,16.8631764855,2022/2/9,2022/2/15,3,10.6096796829,0.00485330819676311,1442,0,10.6096639435,0,0,2330,FALSE
43,93426,35.8464153343,-120.9413320296,19.4607050724,2022/2/9,2022/2/15,2,10.3683432714,0.00598640899133507,1169,0,10.3683282401,0,0,2277,FALSE
44,96034,41.4318373708,-122.6154255836,20.4989155138,2022/1/26,2022/2/15,3,10.1853508492,0.00701821025130522,997,1,13.8107771419,0.0724072215,0.0724069621,997.15,FALSE
45,96096,40.645268844,-121.8393960036,15.0847463061,2022/2/2,2022/2/15,2,10.0713477445,0.00774873903365458,903,1,13.6878325383,0.0730575858,0.0730573266,1503,FALSE
46,92561,33.6408978861,-116.6201549121,0,2022/2/2,2022/2/15,1,9.7256168743,0.013,538,1,13.3144452235,0.0751063963,0.0751061377,1462,FALSE
47,96086,41.8745472071,-123.2203359532,27.7290836341,2022/1/26,2022/2/15,4,9.0022884199,0.021,333,0,9.0022770885,0,0,492.65,FALSE
48,95306,37.3840806304,-120.1290932563,0,2022/1/26,2022/2/15,1,8.9339856912,0.022,318,0,8.933974531,0,0,654,FALSE
49,93604,37.3917146342,-119.478628767,0,2022/1/12,2022/2/15,1,8.8062468684,0.025,280,1,12.3172278829,0.081187099,0.0811868421,541,FALSE
50,96051,40.9325940844,-122.4031062791,23.3952970581,2022/2/9,2022/2/15,2,8.4148849941,0.034,206,0,8.4148750934,0,0,1848,FALSE
51,95714,39.2012290246,-120.8393574256,0,2022/1/12,2022/2/15,1,8.4094143516,0.034,206,1,11.8846450183,0.084142185,0.0841419289,522,FALSE
52,96024,40.5754083676,-122.8904646451,0,2022/1/26,2022/2/15,1,8.1095349444,0.045,156,1,11.5567927419,0.0865291974,0.0865289419,846,FALSE
53,93252,34.72502824,-119.2149062433,0,2022/2/9,2022/2/15,1,7.9017562824,0.057,123,1,11.32911755,0.0882681282,0.0882678732,2488,FALSE
54,95255,38.419661614,-120.4759146443,5.1341878328,2022/2/9,2022/2/15,2,7.7227508494,0.064,109,0,7.7227425099,0,0,1696,FALSE
55,95659,38.8399436515,-121.5713432133,6.937554779,2022/2/9,2022/2/15,2,7.2673995105,0.089,79,0,7.2673921261,0,0,1596,FALSE
56,93201,35.8588151866,-119.4875837918,0,2022/2/9,2022/2/15,1,7.1945433025,0.095,74,0,7.1945360647,0,0,1580,FALSE
57,96052,40.728190571,-122.8153996225,0,2022/2/9,2022/2/15,1,7.1672222242,0.097,72,0,7.1672150417,0,0,1574,FALSE
58,96146,39.1984378935,-120.2389697648,0,2022/2/2,2022/2/15,1,7.0830873884,0.111,63,1,10.42752379,0.0959000449,0.0958997921,1145,FALSE
59,95552,40.1983984728,-123.2311237711,0,2022/1/26,2022/2/15,1,6.9185683615,0.126,56,1,10.2453836364,0.0976049346,0.0976046823,542.55,FALSE
60,92327,34.8629575477,-116.8620169061,0,2022/1/26,2022/2/15,1,6.7584665706,0.141,50,1,10.0677969867,0.0993265956,0.0993263437,737,FALSE
61,94970,37.9145138097,-122.646895152,0,2022/2/2,2022/2/15,1,6.3566970089,0.179,39,0,6.3566913584,0,0,698,FALSE
