CLUSTER,LOC_ID,LATITUDE,LONGITUDE,RADIUS,START_DATE,END_DATE,NUMBER_LOC,LLR,P_VALUE,RECURR_INT,OBSERVED,EXPECTED,ODE,REL_RISK,POPULATION,GINI_CLUST
62,93452,35.7095138937,-121.2078238671,0,2022/2/2,2022/2/15,1,5.9924160724,0.246,28,0,5.9924110514,0,0,658,FALSE
63,92257,33.2642945014,-115.3233710629,0,2022/2/9,2022/2/15,1,5.833043175,0.267,26,0,5.833038417,0,0,1281,FALSE
64,95606,38.7561944687,-122.1954458325,7.0875636229,2022/2/2,2022/2/15,2,5.8102756184,0.271,26,0,5.8102708978,0,0,638,FALSE
65,95979,39.3015159954,-122.5158509669,0,2022/1/26,2022/2/15,1,5.6554562396,0.31,23,0,5.6554517673,0,0,414,FALSE
66,95970,39.4005674593,-122.060299959,0,2022/2/2,2022/2/15,1,5.6099211297,0.32,22,0,5.6099167289,0,0,616,FALSE
67,92239,33.7647630229,-115.4702566437,0,2022/1/12,2022/2/15,1,5.1682305914,0.432,16,0,5.1682268566,0,0,227,FALSE
68,95675,38.5447000205,-120.7404999354,0,2022/2/2,2022/2/15,1,5.1545700601,0.439,16,0,5.1545663451,0,0,566,FALSE
69,96087,40.6239364399,-122.6159785284,0,2022/2/2,2022/2/15,1,4.9542156084,0.501,14,0,4.9542121762,0,0,544,FALSE
70,92339,34.0936599721,-116.9362253315,0,2022/2/9,2022/2/15,1,4.9041269968,0.523,13,0,4.904123634,0,0,1077,FALSE
71,95635,38.9049620252,-120.9086268587,0,2022/2/9,2022/2/15,1,4.8176103064,0.54,13,0,4.817607061,0,0,1058,FALSE
72,95254,38.1951371915,-120.9550904062,0,2022/2/9,2022/2/15,1,4.7128795783,0.57,12,0,4.7128764728,0,0,1035,FALSE
73,95986,39.3425451357,-120.7708687057,12.8043703014,2022/2/9,2022/2/15,3,4.1664584393,0.719,10,0,4.1664560121,0,0,915,FALSE
74,95957,39.0621997851,-121.8282731553,0,2022/2/9,2022/2/15,1,4.0025321143,0.759,9,0,4.002529874,0,0,879,FALSE
75,95556,41.3007875914,-123.5846219359,19.7322117258,2022/2/9,2022/2/15,2,3.9706575517,0.77,9,0,3.9706553471,0,0,872,FALSE
76,92070,33.1594299345,-116.7266365853,0,2022/2/9,2022/2/15,1,3.579055808,0.9,8,0,3.579054017,0,0,786,FALSE
77,95565,40.4577778022,-124.0109632359,0,2022/2/9,2022/2/15,1,3.4697716086,0.927,8,0,3.4697699249,0,0,762,FALSE
78,94021,37.2708394775,-122.280738215,0,2022/1/12,2022/2/15,1,3.3240593468,0.957,7,0,3.324057802,0,0,293.55,FALSE
79,96048,40.8210653661,-123.0521501364,0,2022/2/9,2022/2/15,1,3.3240593468,0.957,7,0,3.324057802,0,0,730,FALSE
80,95439,38.4931790578,-122.7775459217,0,2022/2/9,2022/2/15,1,3.314952331,0.958,7,0,3.3149507944,0,0,728,FALSE
81,95543,41.8713401545,-123.8622524008,0,2022/2/9,2022/2/15,1,3.2102216471,0.967,7,0,3.2102202061,0,0,705,FALSE
82,93524,34.9319873534,-117.9071267257,0,2022/1/19,2022/2/15,1,3.0053137969,0.988,7,0,3.0053125334,0,0,165,FALSE
83,94946,38.0789210093,-122.6943343998,0,2022/2/9,2022/2/15,1,2.9962067811,0.99,7,0,2.9962055257,0,0,658,FALSE
84,94973,38.0126969598,-122.6395983225,0,2022/1/12,2022/2/15,1,2.3964448237,0.999,7,0,2.3964440201,0,0,949.3,FALSE
