LOC_ID,CLUSTER,P_VALUE,RECURR_INT,CLU_OBS,CLU_EXP,CLU_ODE,CLU_RR,CLU_POP,LOC_OBS,LOC_EXP,LOC_ODE,LOC_RR,LOC_POP,LOC_LAT,LOC_LONG,GINI_CLUST
96016,9,3.885e-12,1801800210990,1,36.4798388613,0.0274124018,0.0274121409,7685,0,2.0126807648,0,0,424,40.911516853,-121.5231415381,FALSE
94020,10,9.32321e-12,750814456311,3,41.8770511951,0.0716382819,0.071637535,9140.92,1,8.0554699476,0.1241392503,0.1241390154,1697,37.2842225482,-122.2283072195,FALSE
94021,10,9.32321e-12,750814456311,3,41.8770511951,0.0716382819,0.071637535,9140.92,0,0,0,0,318.92,37.2708394775,-122.280738215,FALSE
94028,10,9.32321e-12,750814456311,3,41.8770511951,0.0716382819,0.071637535,9140.92,2,33.8215812475,0.0591338408,0.0591333361,7125,37.3785953231,-122.2154797731,FALSE
92242,11,5.545816e-10,12622128040,1,31.1395891907,0.0321134615,0.032113202,1312,1,31.1395891907,0.0321134615,0.032113202,1312,34.1651586438,-114.3196712311,FALSE
96135,12,2.75769041e-09,2538356001,3,35.4328108624,0.0846672879,0.0846665515,2286.32,0,0,0,0,0,39.8086828585,-120.2056549995,FALSE
96105,12,2.75769041e-09,2538356001,3,35.4328108624,0.0846672879,0.0846665515,2286.32,0,4.2884747831,0,0,139.83,39.8332196913,-120.1782413093,FALSE
96129,12,2.75769041e-09,2538356001,3,35.4328108624,0.0846672879,0.0846665515,2286.32,0,5.8101916417,0,0,367.49,39.7876193958,-120.3555780706,FALSE
96118,12,2.75769041e-09,2538356001,3,35.4328108624,0.0846672879,0.0846665515,2286.32,3,25.3341444376,0.1184172612,0.1184165519,1779,39.6388211261,-120.2292819533,FALSE
95916,13,3.78844056e-09,1847725967,2,32.2551080108,0.0620056829,0.0620051798,1359,2,32.2551080108,0.0620056829,0.0620051798,1359,39.6607260182,-121.3635960226,FALSE
93437,14,1.464474231e-08,477987243,3,33.5225272659,0.0894920594,0.0894913268,3488.11,3,32.1554233503,0.093296859,0.0932961295,3387,34.7373563247,-120.5434859334,FALSE
93429,14,1.464474231e-08,477987243,3,33.5225272659,0.0894920594,0.0894913268,3488.11,0,1.3671039157,0,0,101.11,34.8653542168,-120.5365106182,FALSE
94939,15,5.376177103e-08,130204044,3,32.0272573582,0.0936702124,0.0936694832,6747,3,32.0272573582,0.0936702124,0.0936694832,6747,37.9371670172,-122.5340713427,FALSE
96023,16,1.5516594254e-07,45112992,2,28.1015804891,0.0711703742,0.071169876,1184,2,28.1015804891,0.0711703742,0.071169876,1184,41.9268537013,-121.9070370442,FALSE
92327,17,1.9652539096e-07,35618807,2,27.8357547278,0.0718500367,0.0718495389,2932,0,6.9969137907,0,0,737,34.8629575477,-116.8620169061,FALSE
92398,17,1.9652539096e-07,35618807,2,27.8357547278,0.0718500367,0.0718495389,2932,2,20.8388409371,0.0959746277,0.0959741428,2195,34.9117484892,-116.8472129026,FALSE
95410,18,8.9008982473e-07,7864375,2,26.1316217217,0.076535625,0.0765351296,1835,2,14.1979437911,0.1408654682,0.1408650074,997,39.2061474426,-123.6926410012,FALSE
95456,18,8.9008982473e-07,7864375,2,26.1316217217,0.076535625,0.0765351296,1835,0,11.9336779307,0,0,838,39.2611433387,-123.7513370412,FALSE
