CLUSTER,LOC_ID,LATITUDE,LONGITUDE,RADIUS,START_DATE,END_DATE,NUMBER_LOC,LLR,P_VALUE,RECURR_INT,OBSERVED,EXPECTED,ODE,REL_RISK,POPULATION,GINI_CLUST
35,92309,35.2163967476,-116.1302614644,0,2022/1/5,2022/2/8,1,9.9678115979,0.00501529457179184,1396,1,13.576101385,0.0736588489,0.0736586004,572,FALSE
36,95563,40.876265932,-123.4984834492,13.7280179257,2022/2/2,2022/2/8,3,9.4059955408,0.00857257930759459,817,1,12.9684996447,0.0771099223,0.0771096748,2682.45,FALSE
37,96059,40.4274732367,-121.8322595513,0,2022/1/5,2022/2/8,1,9.3096489648,0.00939701936123161,745,1,12.8640680955,0.0777359069,0.0777356596,542,FALSE
38,95975,39.2244117754,-121.1516198654,0,2022/2/2,2022/2/8,1,8.9099205406,0.01,700,0,8.909909895,0,0,1877,FALSE
39,96014,41.3389464532,-122.7779311401,24.7707332814,2022/2/2,2022/2/8,3,8.8551031688,0.011,636,1,12.3703916815,0.0808381841,0.0808379376,2592.15,FALSE
40,96024,40.5754083676,-122.8904646451,0,2022/1/19,2022/2/8,1,8.5587538829,0.015,467,1,12.047603257,0.0830040614,0.0830038154,846,FALSE
41,95981,39.6359951055,-121.0360343083,24.035401631,2022/2/2,2022/2/8,8,8.483377699,0.015,467,0,8.4833680482,0,0,1570.48,FALSE
42,93562,35.7480829425,-117.3808233489,0,2022/2/2,2022/2/8,1,8.4067491806,0.015,467,0,8.4067397038,0,0,1771,FALSE
43,96091,41.0358147506,-122.7881581794,0,2022/1/12,2022/2/8,1,8.2718071504,0.018,389,1,11.7343086097,0.0852201892,0.0852199439,618,FALSE
44,95943,39.5857022055,-122.0366972704,0,2022/1/26,2022/2/8,1,8.2690891034,0.018,389,0,8.2690799345,0,0,871,FALSE
45,93601,37.3937716097,-119.7444095443,0,2022/2/2,2022/2/8,1,7.9462999773,0.034,206,0,7.9462915099,0,0,1674,FALSE
46,92328,36.5289687374,-116.8704327268,0,2022/1/5,2022/2/8,1,7.0543069486,0.088,80,1,10.3956860255,0.0961937478,0.0961935054,229.87,FALSE
47,93531,35.2160356273,-118.5899843436,0,2022/1/12,2022/2/8,1,6.4177989048,0.156,45,0,6.417793382,0,0,338,FALSE
48,95306,37.3840806304,-120.1290932563,0,2022/1/26,2022/2/8,1,6.2089354533,0.2,35,0,6.2089302838,0,0,654,FALSE
49,90021,34.0293396302,-118.2387681277,0,2022/1/5,2022/2/8,1,5.9912563485,0.229,31,0,5.9912515353,0,0,2276.63,FALSE
50,93954,36.1331251007,-120.9420597449,0,2022/1/26,2022/2/8,1,5.2310749023,0.403,17,0,5.2310712329,0,0,551,FALSE
51,95970,39.4005674593,-122.060299959,12.5178964032,2022/2/2,2022/2/8,2,4.4193559023,0.605,12,0,4.419353283,0,0,868.45,FALSE
52,96120,38.7537295755,-119.8333549551,0,2022/2/2,2022/2/8,1,4.3956214307,0.615,11,0,4.39561884,0,0,926,FALSE
53,94938,38.0290704651,-122.7265268564,0,2022/2/2,2022/2/8,1,4.3671400663,0.633,11,0,4.3671375084,0,0,920,FALSE
54,92268,34.2220958208,-116.564252574,0,2022/1/26,2022/2/8,1,4.3196711249,0.652,11,0,4.3196686225,0,0,455,FALSE
55,92239,33.7647630229,-115.4702566437,0,2022/1/12,2022/2/8,1,4.310177336,0.653,11,0,4.3101748453,0,0,227,FALSE
56,95569,40.3674599056,-123.85531575,10.5943041939,2022/2/2,2022/2/8,3,4.1725174106,0.682,10,0,4.172515076,0,0,978.18,FALSE
57,95979,39.3015159954,-122.5158509669,0,2022/1/26,2022/2/8,1,3.930425829,0.778,9,0,3.9304237576,0,0,414,FALSE
58,93518,35.3700706508,-118.4612299821,0,2022/2/2,2022/2/8,1,3.8639693195,0.802,9,0,3.8639673173,0,0,814,FALSE
59,95345,37.5901831534,-119.9651928294,0,2022/2/2,2022/2/8,1,3.807006598,0.821,9,0,3.8070046541,0,0,802,FALSE
60,95607,38.7915169196,-122.1273287205,0,2022/1/26,2022/2/8,1,3.6930811567,0.846,8,0,3.6930793278,0,0,389,FALSE
61,95674,38.9541564156,-121.4818639751,0,2022/2/2,2022/2/8,1,3.6408653305,0.865,8,0,3.6408635532,0,0,767,FALSE
62,95830,38.4941620671,-121.2724139859,0,2022/2/2,2022/2/8,1,3.4842178573,0.924,8,0,3.4842162296,0,0,734,FALSE
63,96038,41.6089244513,-122.5464344299,0,2022/2/2,2022/2/8,1,3.4747240712,0.929,8,0,3.4747224524,0,0,732,FALSE
64,94970,37.9145138097,-122.646895152,0,2022/2/2,2022/2/8,1,3.3133297119,0.96,7,0,3.3133282401,0,0,698,FALSE
65,93452,35.7095138937,-121.2078238671,0,2022/2/2,2022/2/8,1,3.1234540048,0.982,7,0,3.1234526963,0,0,658,FALSE
66,95227,38.2066654877,-121.0432468671,0,2022/2/2,2022/2/8,1,3.1044664342,0.982,7,0,3.1044651419,0,0,654,FALSE
67,95459,38.9811366282,-123.5908205222,0,2022/2/2,2022/2/8,1,3.0427568316,0.983,7,0,3.0427555901,0,0,641,FALSE
68,95251,38.0823479389,-120.4547298499,0,2022/2/2,2022/2/8,1,2.9668065529,0.987,7,0,2.9668053726,0,0,625,FALSE
69,93244,36.4669201612,-119.0155598205,0,2022/1/26,2022/2/8,1,2.9240845221,0.987,7,0,2.9240833752,0,0,308,FALSE
70,95675,38.5447000205,-120.7404999354,0,2022/2/2,2022/2/8,1,2.6867399133,0.99,7,0,2.6867389454,0,0,566,FALSE
71,96087,40.6239364399,-122.6159785284,0,2022/2/2,2022/2/8,1,2.5823082906,0.994,7,0,2.5823073963,0,0,544,FALSE
72,94973,38.0126969598,-122.6395983225,0,2022/1/12,2022/2/8,1,2.4982204923,0.997,7,0,2.4982196555,0,0,1010.27,FALSE
73,95420,39.3673470949,-123.8063640341,0,2022/2/2,2022/2/8,1,2.4826235618,0.997,7,0,2.4826227358,0,0,523,FALSE
74,93524,34.9319873534,-117.9071267257,0,2022/1/19,2022/2/8,1,2.3497105951,0.999,7,0,2.3497098551,0,0,165,FALSE
75,95585,39.8447068674,-123.6570037507,0,2022/2/2,2022/2/8,1,2.1693287193,0.999,7,0,2.1693280884,0,0,457,FALSE
