"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"378","92101",0.5911,0.192,0.436,0.9666,0.6609,2020,"CA"
"379","92102",0.9412,0.6707,0.7676,0.9619,0.94,2020,"CA"
"380","92103",0.2422,0.1995,0.3241,0.6563,0.3431,2020,"CA"
"381","92104",0.5836,0.0807,0.5098,0.4279,0.387,2020,"CA"
"382","92105",0.9792,0.8783,0.8789,0.9567,0.9885,2020,"CA"
"383","92106",0.1471,0.1615,0.2572,0.4931,0.2163,2020,"CA"
"384","92107",0.3454,0.0657,0.2457,0.5352,0.2486,2020,"CA"
"385","92108",0.4752,0.0346,0.4942,0.6649,0.3397,2020,"CA"
"386","92109",0.2912,0.0375,0.2411,0.4758,0.1597,2020,"CA"
"387","92110",0.4469,0.0998,0.3899,0.8397,0.466,2020,"CA"
"388","92111",0.6811,0.5611,0.6153,0.9025,0.7607,2020,"CA"
"389","92113",0.9862,0.8281,0.9152,0.9562,0.9873,2020,"CA"
"390","92114",0.7509,0.7555,0.9152,0.7128,0.8062,2020,"CA"
"391","92115",0.8662,0.2111,0.6286,0.9233,0.7699,2020,"CA"
"392","92116",0.4498,0.0681,0.4787,0.4815,0.3183,2020,"CA"
"393","92117",0.3651,0.4066,0.4245,0.4988,0.417,2020,"CA"
"394","92118",0.1298,0.2532,0.2509,0.5479,0.248,2020,"CA"
"395","92119",0.1488,0.4112,0.3085,0.4481,0.2693,2020,"CA"
"396","92120",0.3085,0.1701,0.3576,0.4141,0.2803,2020,"CA"
"397","92121",0.2261,0.03,0.5092,0.2405,0.0986,2020,"CA"
"398","92122",0.5265,0.0709,0.5392,0.6805,0.4475,2020,"CA"
"399","92123",0.5242,0.2618,0.5652,0.6148,0.5358,2020,"CA"
"400","92124",0.1765,0.4164,0.4608,0.1886,0.207,2020,"CA"
"401","92126",0.3956,0.2416,0.763,0.7486,0.5346,2020,"CA"
"402","92127",0.0634,0.3518,0.5358,0.5283,0.2624,2020,"CA"
"403","92128",0.1644,0.3039,0.4516,0.4083,0.2549,2020,"CA"
"404","92129",0.1782,0.2774,0.5617,0.2849,0.2232,2020,"CA"
"405","92130",0.0969,0.3668,0.4787,0.1759,0.1471,2020,"CA"
"406","92131",0.0923,0.3818,0.4942,0.2174,0.1655,2020,"CA"
"407","92134",0,0,0.6747,0.0894,0.0075,2020,"CA"
"408","92135",0,0,0.5046,0.0894,0.0046,2020,"CA"
"409","92139",0.6407,0.7336,0.895,0.6119,0.733,2020,"CA"
"410","92140",0.0144,0.0161,0.4187,0.0894,0.0092,2020,"CA"
"411","92145",0.0254,0.1096,0.6194,0.0323,0.0381,2020,"CA"
"412","92147",0,0,0.5208,0.0894,0.0052,2020,"CA"
"413","92154",0.7958,0.7866,0.8818,0.9227,0.8887,2020,"CA"
"414","92155",0,0,0.4435,0.0894,0.0035,2020,"CA"
"415","92173",0.9666,0.9054,0.9804,0.9118,0.9804,2020,"CA"
"416","92201",0.9233,0.7376,0.8091,0.7947,0.8922,2020,"CA"
