"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1508","14301",0.9198,0.9633,0.8292,0.8097,0.9456,2020,"NY"
"1509","14302",0.6332,0.2401,0.9043,0.71,0.6716,2020,"NY"
"1510","14303",0.9232,0.9885,0.8493,0.8355,0.9645,2020,"NY"
"1511","14304",0.384,0.7312,0.549,0.714,0.6355,2020,"NY"
"1512","14305",0.8218,0.8734,0.835,0.7519,0.8802,2020,"NY"
"1513","14411",0.9209,0.6476,0.6407,0.8774,0.8986,2020,"NY"
"1514","14414",0.1679,0.7226,0.2911,0.7713,0.5049,2020,"NY"
"1515","14415",0.6132,0.0298,0.6304,0.3272,0.2539,2020,"NY"
"1516","14416",0.1129,0.365,0.2029,0.3054,0.1765,2020,"NY"
"1517","14418",0.5587,0.7971,0.1312,0.247,0.4344,2020,"NY"
"1518","14420",0.7347,0.5415,0.6138,0.8854,0.804,2020,"NY"
"1519","14422",0.2745,0.5123,0.3799,0.4567,0.3748,2020,"NY"
"1520","14423",0.1731,0.3828,0.5215,0.4264,0.3003,2020,"NY"
"1521","14424",0.4212,0.8544,0.4052,0.8533,0.7341,2020,"NY"
"1522","14425",0.3811,0.5926,0.5215,0.6722,0.5691,2020,"NY"
"1523","14427",0.5782,0.4436,0.5519,0.4103,0.5095,2020,"NY"
"1524","14428",0.3742,0.3966,0.2189,0.5708,0.4115,2020,"NY"
"1525","14432",0.3788,0.5782,0.3662,0.7605,0.5868,2020,"NY"
"1526","14433",0.9473,0.8797,0.2957,0.7908,0.9037,2020,"NY"
"1527","14435",0.306,0.11,0.2521,0.2974,0.1708,2020,"NY"
"1528","14437",0.8063,0.5049,0.5817,0.8625,0.8223,2020,"NY"
"1529","14441",0.7616,0.643,0.3077,0.2934,0.5496,2020,"NY"
"1530","14445",0.7003,0.4447,0.6189,0.4218,0.5891,2020,"NY"
"1531","14450",0.1324,0.784,0.4974,0.5255,0.4132,2020,"NY"
"1532","14454",0.6619,0.1754,0.561,0.839,0.6613,2020,"NY"
"1533","14456",0.659,0.8218,0.694,0.8946,0.8458,2020,"NY"
"1534","14462",0.7238,0.4842,0.2235,0.1679,0.3702,2020,"NY"
"1535","14464",0.4235,0.5564,0.1948,0.612,0.4986,2020,"NY"
"1536","14466",0.3605,0.0905,0.1633,0.4241,0.2063,2020,"NY"
"1537","14467",0.298,0.8785,0.6911,0.5318,0.5903,2020,"NY"
"1538","14468",0.192,0.5748,0.3954,0.3834,0.3175,2020,"NY"
"1539","14469",0.5289,0.29,0.1989,0.608,0.4659,2020,"NY"
"1540","14470",0.4986,0.7759,0.4917,0.5169,0.6086,2020,"NY"
"1541","14471",0.6585,0.1742,0.5014,0.2195,0.3352,2020,"NY"
"1542","14472",0.0642,0.1501,0.2802,0.3255,0.1226,2020,"NY"
"1543","14475",0.1817,0.5788,0.5874,0,0.1215,2020,"NY"
"1544","14476",0.5014,0.5742,0.4917,0.1994,0.3696,2020,"NY"
"1545","14477",0.7032,0.2819,0.2029,0.1117,0.2705,2020,"NY"
"1546","14478",0.0481,0.0132,0.5014,0.3519,0.0556,2020,"NY"
"1547","14479",0.4808,0.2441,0,0.1375,0.1777,2020,"NY"
"1548","14480",0.4361,0.1261,0.239,0.2613,0.208,2020,"NY"
"1549","14481",0.2974,0.3559,0.3014,0.3009,0.2625,2020,"NY"
"1550","14482",0.2246,0.4728,0.3221,0.6802,0.4384,2020,"NY"
"1551","14485",0.2923,0.2653,0.4074,0.8997,0.5301,2020,"NY"
"1552","14486",0.1891,0.0682,0,0,0.0281,2020,"NY"
"1553","14487",0.0665,0.635,0.3662,0.3559,0.2372,2020,"NY"
"1554","14489",0.9054,0.937,0.6052,0.9003,0.9341,2020,"NY"
"1555","14502",0.4132,0.8413,0.4453,0.7181,0.6734,2020,"NY"
"1556","14504",0.4596,0.7358,0.2693,0.4287,0.4951,2020,"NY"
"1557","14505",0.4155,0.3083,0.3954,0.7244,0.5163,2020,"NY"
"1558","14506",0.1387,0.1874,0.0968,0.0825,0.0739,2020,"NY"
"1559","14507",0.5862,0.2086,0.3616,0.4172,0.3948,2020,"NY"
"1560","14510",0.7324,0.898,0.5851,0.8722,0.8648,2020,"NY"
"1561","14511",0.3926,0.1461,0.6808,0.0716,0.1473,2020,"NY"
"1562","14512",0.6212,0.2155,0.2029,0.6074,0.486,2020,"NY"
"1563","14513",0.7249,0.9582,0.6338,0.7971,0.8734,2020,"NY"
"1564","14514",0.3484,0.498,0.5519,0.3822,0.3868,2020,"NY"
"1565","14516",0.6791,0.8562,0.5014,0.3169,0.6241,2020,"NY"
"1566","14517",0.6636,0.6682,0.2074,0.8585,0.7582,2020,"NY"
"1567","14519",0.145,0.4252,0.4023,0.5433,0.3221,2020,"NY"
"1568","14521",0.8779,0.6103,0.6,0.8819,0.8762,2020,"NY"
"1569","14522",0.4218,0.3926,0.3077,0.4625,0.4006,2020,"NY"
"1570","14525",0.2052,0.1335,0.2149,0.2172,0.1335,2020,"NY"
"1571","14526",0.1943,0.6957,0.5163,0.4229,0.3731,2020,"NY"
"1572","14527",0.8212,0.8258,0.3192,0.8802,0.8585,2020,"NY"
"1573","14529",0,0.2521,0,0,0.0172,2020,"NY"
