"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1272","06029005103",0.7146,0.8101,0.0683,0.3087,0.5816,2020,"CA"
"1273","06029005104",0.067,0.2337,0.1188,0.1617,0.0773,2020,"CA"
"1274","06029005203",0.7604,0.4459,0.0091,0.5258,0.5801,2020,"CA"
"1275","06029005205",0.7632,0.984,0.0426,0.2142,0.6544,2020,"CA"
"1276","06029005206",0.7606,0.5921,0.0928,0.2221,0.5187,2020,"CA"
"1277","06029005207",0.3318,0.2813,0.0043,0.7455,0.3896,2020,"CA"
"1278","06029005208",0.5285,0.6278,0.0256,0.2188,0.3952,2020,"CA"
"1279","06029005300",0.7491,0.7428,0.2351,0.4858,0.6564,2020,"CA"
"1280","06029005402",0.4687,0.6749,0.1452,0.0698,0.3041,2020,"CA"
"1281","06029005405",0.6138,0.6911,0.28,0.4416,0.5653,2020,"CA"
"1282","06029005406",0.1781,0.8099,0.0646,0.7366,0.4489,2020,"CA"
"1283","06029005407",0.5842,0.6898,0.1974,0.533,0.5669,2020,"CA"
"1284","06029005408",0.3952,0.6052,0.2286,0.339,0.3965,2020,"CA"
"1285","06029005409",0.269,0.4043,0.0974,0.5067,0.3253,2020,"CA"
"1286","06029005410",0.3842,0.365,0.1841,0.757,0.4619,2020,"CA"
"1287","06029005508",0.7902,0.7459,0.5431,0.4228,0.6923,2020,"CA"
"1288","06029005509",0.4393,0.5441,0.1974,0.3954,0.4174,2020,"CA"
"1289","06029005510",0.5817,0.4235,0.0046,0.1787,0.3526,2020,"CA"
"1290","06029005511",0.6809,0.7224,0.4783,0.1811,0.5389,2020,"CA"
"1291","06029005512",0.6847,0.6314,0.4843,0.0989,0.4681,2020,"CA"
"1292","06029005513",0.4141,0.4483,0.3043,0.232,0.3373,2020,"CA"
"1293","06029005514",0.6477,0.5021,0.3585,0.5974,0.6008,2020,"CA"
"1294","06029005600",0.6028,0.6448,0.3413,0.6593,0.6248,2020,"CA"
"1295","06029005700",0.4596,0.0857,0.2024,0.1692,0.2017,2020,"CA"
"1296","06029005803",0.8532,0.9921,0.4078,0.6043,0.8735,2020,"CA"
"1297","06029005804",0.7982,0.6294,0.6091,0.8074,0.7932,2020,"CA"
"1298","06029005805",0.5422,0.433,0.34,0.1316,0.3486,2020,"CA"
"1299","06029005806",0.3853,0.7746,0.3238,0.2228,0.4018,2020,"CA"
"1300","06029005900",0.8332,0.9626,0.5974,0.4534,0.8089,2020,"CA"
"1301","06029006002",0.0838,0.009,0.6317,0.0941,0.0135,2020,"CA"
"1302","06029006003",0.4152,0.7377,0.2004,0.2472,0.4009,2020,"CA"
"1303","06029006004",0.3374,0.4789,0.1095,0.4784,0.3682,2020,"CA"
"1304","06029006006",0.0184,0.4717,0.1313,0.1681,0.0912,2020,"CA"
"1305","06029006009",0.322,0.2441,0.0873,0.0394,0.1056,2020,"CA"
"1306","06029006010",0.2594,0.5761,0.0576,0.2865,0.2845,2020,"CA"
"1307","06029006011",0.3522,0.5359,0.1422,0.1952,0.2921,2020,"CA"
"1308","06029006012",0.4197,0.4512,0.0496,0.6859,0.4599,2020,"CA"
"1309","06029006101",0.6602,0.7817,0.2793,0.5934,0.6578,2020,"CA"
"1310","06029006102",0.5698,0.5554,0.1333,0.6384,0.5546,2020,"CA"
"1311","06029006201",0.9312,0.8793,0.6737,0.9373,0.9566,2020,"CA"
"1312","06029006202",0.8835,0.6159,0.9073,0.688,0.8312,2020,"CA"
"1313","06029006301",0.9681,0.8352,0.8796,0.9781,0.9849,2020,"CA"
"1314","06029006303",0.9909,0.7533,0.8958,0.7796,0.9424,2020,"CA"
"1315","06029006304",0.9465,0.8402,0.9591,0.6691,0.9156,2020,"CA"
"1316","06029006403",0.8992,0.6771,0.878,0.7034,0.8502,2020,"CA"
"1317","06029006404",0.9898,0.9011,0.8588,0.87,0.9771,2020,"CA"
"1318","06029006405",0.9075,0.5436,0.9544,0.4956,0.7808,2020,"CA"
"1319","06029006406",0.9662,0.8835,0.9893,0.7061,0.9414,2020,"CA"
"1320","06029006500",0.8135,0.2464,0.5814,0.8349,0.7218,2020,"CA"
"1321","06029006600",0.7915,0.6617,0.6007,0.6673,0.7494,2020,"CA"
"1322","06031000100",0.5836,0.4847,0.2863,0.3978,0.4878,2020,"CA"
"1323","06031000200",0.6873,0.6807,0.3282,0.3442,0.5772,2020,"CA"
"1324","06031000402",0.5079,0.5257,0.429,0.2326,0.4198,2020,"CA"
"1325","06031000403",0.4876,0.9531,0.5372,0.4553,0.6296,2020,"CA"
"1326","06031000405",0.7504,0.6455,0.5762,0.7739,0.7604,2020,"CA"
"1327","06031000406",0.1757,0.0612,0.5419,0.1587,0.1006,2020,"CA"
"1328","06031000407",0.6125,0.5482,0.3348,0.3913,0.523,2020,"CA"
"1329","06031000500",0.6583,0.8902,0.6588,0.2004,0.6115,2020,"CA"
"1330","06031000602",0.383,0.243,0.1823,0.1356,0.2062,2020,"CA"
"1331","06031000603",0.2687,0.1388,0.4741,0.0209,0.0782,2020,"CA"
